Motivo del viaje;Tipo de dato;Periodo;Total
Total;Dato base;2023M08;10.076.734
Total;Dato base;2023M07;10.131.579
Total;Dato base;2023M06;8.318.325
Total;Dato base;2023M05;8.218.334
Total;Dato base;2023M04;7.235.055
Total;Dato base;2023M03;5.257.076
Total;Dato base;2023M02;4.321.152
Total;Dato base;2023M01;4.147.345
Total;Dato base;2022M12;4.127.293
Total;Dato base;2022M11;4.334.651
Total;Dato base;2022M10;7.176.984
Total;Dato base;2022M09;7.767.211
Total;Dato base;2022M08;8.848.665
Total;Dato base;2022M07;9.091.390
Total;Dato base;2022M06;7.498.156
Total;Dato base;2022M05;6.988.353
Total;Dato base;2022M04;6.106.316
Total;Dato base;2022M03;4.039.532
Total;Dato base;2022M02;3.179.288
Total;Dato base;2022M01;2.501.443
Total;Dato base;2021M12;2.947.525
Total;Dato base;2021M11;3.361.913
Total;Dato base;2021M10;5.148.820
Total;Dato base;2021M09;4.703.933
Total;Dato base;2021M08;5.196.520
Total;Dato base;2021M07;4.398.992
Total;Dato base;2021M06;2.216.356
Total;Dato base;2021M05;1.363.164
Total;Dato base;2021M04;629.206
Total;Dato base;2021M03;491.427
Total;Dato base;2021M02;284.974
Total;Dato base;2021M01;437.973
Total;Dato base;2020M12;648.989
Total;Dato base;2020M11;456.814
Total;Dato base;2020M10;1.020.773
Total;Dato base;2020M09;1.138.868
Total;Dato base;2020M08;2.440.978
Total;Dato base;2020M07;2.464.779
Total;Dato base;2020M06;204.272
Total;Dato base;2020M05;0
Total;Dato base;2020M04;0
Total;Dato base;2020M03;1.997.262
Total;Dato base;2020M02;4.427.344
Total;Dato base;2020M01;4.133.024
Total;Dato base;2019M12;4.304.741
Total;Dato base;2019M11;4.655.021
Total;Dato base;2019M10;7.587.749
Total;Dato base;2019M09;8.845.152
Total;Dato base;2019M08;10.118.366
Total;Dato base;2019M07;9.873.270
Total;Dato base;2019M06;8.833.893
Total;Dato base;2019M05;7.919.204
Total;Dato base;2019M04;7.146.033
Total;Dato base;2019M03;5.649.577
Total;Dato base;2019M02;4.380.504
Total;Dato base;2019M01;4.195.641
Total;Dato base;2018M12;4.354.798
Total;Dato base;2018M11;4.536.873
Total;Dato base;2018M10;7.649.860
Total;Dato base;2018M09;8.932.308
Total;Dato base;2018M08;10.175.761
Total;Dato base;2018M07;10.020.246
Total;Dato base;2018M06;8.554.306
Total;Dato base;2018M05;8.086.048
Total;Dato base;2018M04;6.780.378
Total;Dato base;2018M03;5.393.186
Total;Dato base;2018M02;4.218.047
Total;Dato base;2018M01;4.106.601
Total;Dato base;2017M12;3.982.530
Total;Dato base;2017M11;4.392.575
Total;Dato base;2017M10;7.269.931
Total;Dato base;2017M09;8.877.270
Total;Dato base;2017M08;10.397.745
Total;Dato base;2017M07;10.493.438
Total;Dato base;2017M06;8.431.975
Total;Dato base;2017M05;8.002.648
Total;Dato base;2017M04;7.081.594
Total;Dato base;2017M03;4.913.943
Total;Dato base;2017M02;4.119.137
Total;Dato base;2017M01;3.905.736
Total;Dato base;2016M12;3.990.446
Total;Dato base;2016M11;4.098.262
Total;Dato base;2016M10;7.137.723
Total;Dato base;2016M09;7.932.607
Total;Dato base;2016M08;10.027.471
Total;Dato base;2016M07;9.545.792
Total;Dato base;2016M06;7.552.758
Total;Dato base;2016M05;7.111.154
Total;Dato base;2016M04;6.086.327
Total;Dato base;2016M03;4.627.206
Total;Dato base;2016M02;3.678.726
Total;Dato base;2016M01;3.526.537
Total;Dato base;2015M12;3.512.914
Total;Dato base;2015M11;3.754.802
Total;Dato base;2015M10;6.432.341
Total;Tasa de variación anual;2023M08;13,88
Total;Tasa de variación anual;2023M07;11,44
Total;Tasa de variación anual;2023M06;10,94
Total;Tasa de variación anual;2023M05;17,6
Total;Tasa de variación anual;2023M04;18,48
Total;Tasa de variación anual;2023M03;30,14
Total;Tasa de variación anual;2023M02;35,92
Total;Tasa de variación anual;2023M01;65,8
Total;Tasa de variación anual;2022M12;40,03
Total;Tasa de variación anual;2022M11;28,93
Total;Tasa de variación anual;2022M10;39,39
Total;Tasa de variación anual;2022M09;65,12
Total;Tasa de variación anual;2022M08;70,28
Total;Tasa de variación anual;2022M07;106,67
Total;Tasa de variación anual;2022M06;238,31
Total;Tasa de variación anual;2022M05;412,66
Total;Tasa de variación anual;2022M04;870,48
Total;Tasa de variación anual;2022M03;722
Total;Tasa de variación anual;2022M02;1.015,64
Total;Tasa de variación anual;2022M01;471,14
Total;Tasa de variación anual;2021M12;354,17
Total;Tasa de variación anual;2021M11;635,95
Total;Tasa de variación anual;2021M10;404,4
Total;Tasa de variación anual;2021M09;313,04
Total;Tasa de variación anual;2021M08;112,89
Total;Tasa de variación anual;2021M07;78,47
Total;Tasa de variación anual;2021M06;985
Total;Tasa de variación anual;2021M05;..
Total;Tasa de variación anual;2021M04;..
Total;Tasa de variación anual;2021M03;-75,39
Total;Tasa de variación anual;2021M02;-93,56
Total;Tasa de variación anual;2021M01;-89,4
Total;Tasa de variación anual;2020M12;-84,92
Total;Tasa de variación anual;2020M11;-90,19
Total;Tasa de variación anual;2020M10;-86,55
Total;Tasa de variación anual;2020M09;-87,12
Total;Tasa de variación anual;2020M08;-75,88
Total;Tasa de variación anual;2020M07;-75,04
Total;Tasa de variación anual;2020M06;-97,69
Total;Tasa de variación anual;2020M05;-100
Total;Tasa de variación anual;2020M04;-100
Total;Tasa de variación anual;2020M03;-64,65
Total;Tasa de variación anual;2020M02;1,07
Total;Tasa de variación anual;2020M01;-1,49
Total;Tasa de variación anual;2019M12;-1,15
Total;Tasa de variación anual;2019M11;2,6
Total;Tasa de variación anual;2019M10;-0,81
Total;Tasa de variación anual;2019M09;-0,98
Total;Tasa de variación anual;2019M08;-0,56
Total;Tasa de variación anual;2019M07;-1,47
Total;Tasa de variación anual;2019M06;3,27
Total;Tasa de variación anual;2019M05;-2,06
Total;Tasa de variación anual;2019M04;5,39
Total;Tasa de variación anual;2019M03;4,75
Total;Tasa de variación anual;2019M02;3,85
Total;Tasa de variación anual;2019M01;2,17
Total;Tasa de variación anual;2018M12;9,35
Total;Tasa de variación anual;2018M11;3,29
Total;Tasa de variación anual;2018M10;5,23
Total;Tasa de variación anual;2018M09;0,62
Total;Tasa de variación anual;2018M08;-2,13
Total;Tasa de variación anual;2018M07;-4,51
Total;Tasa de variación anual;2018M06;1,45
Total;Tasa de variación anual;2018M05;1,04
Total;Tasa de variación anual;2018M04;-4,25
Total;Tasa de variación anual;2018M03;9,75
Total;Tasa de variación anual;2018M02;2,4
Total;Tasa de variación anual;2018M01;5,14
Total;Tasa de variación anual;2017M12;-0,2
Total;Tasa de variación anual;2017M11;7,18
Total;Tasa de variación anual;2017M10;1,85
Total;Tasa de variación anual;2017M09;11,91
Total;Tasa de variación anual;2017M08;3,69
Total;Tasa de variación anual;2017M07;9,93
Total;Tasa de variación anual;2017M06;11,64
Total;Tasa de variación anual;2017M05;12,54
Total;Tasa de variación anual;2017M04;16,35
Total;Tasa de variación anual;2017M03;6,2
Total;Tasa de variación anual;2017M02;11,97
Total;Tasa de variación anual;2017M01;10,75
Total;Tasa de variación anual;2016M12;13,59
Total;Tasa de variación anual;2016M11;9,15
Total;Tasa de variación anual;2016M10;10,97
Total;Tasa de variación anual;2016M09;9,52
Total;Tasa de variación anual;2016M08;6,34
Total;Tasa de variación anual;2016M07;9,99
Total;Tasa de variación anual;2016M06;12,89
Total;Tasa de variación anual;2016M05;8,19
Total;Tasa de variación anual;2016M04;11,59
Total;Tasa de variación anual;2016M03;15,45
Total;Tasa de variación anual;2016M02;13,95
Total;Tasa de variación anual;2016M01;11,04
Total;Tasa de variación anual;2015M12;7,92
Total;Tasa de variación anual;2015M11;10,56
Total;Tasa de variación anual;2015M10;8,89
Total;Acumulado en lo que va de año;2023M08;57.705.600
Total;Acumulado en lo que va de año;2023M07;47.628.867
Total;Acumulado en lo que va de año;2023M06;37.497.287
Total;Acumulado en lo que va de año;2023M05;29.178.962
Total;Acumulado en lo que va de año;2023M04;20.960.628
Total;Acumulado en lo que va de año;2023M03;13.725.573
Total;Acumulado en lo que va de año;2023M02;8.468.497
Total;Acumulado en lo que va de año;2023M01;4.147.345
Total;Acumulado en lo que va de año;2022M12;71.659.281
Total;Acumulado en lo que va de año;2022M11;67.531.989
Total;Acumulado en lo que va de año;2022M10;63.197.338
Total;Acumulado en lo que va de año;2022M09;56.020.354
Total;Acumulado en lo que va de año;2022M08;48.253.143
Total;Acumulado en lo que va de año;2022M07;39.404.478
Total;Acumulado en lo que va de año;2022M06;30.313.089
Total;Acumulado en lo que va de año;2022M05;22.814.932
Total;Acumulado en lo que va de año;2022M04;15.826.580
Total;Acumulado en lo que va de año;2022M03;9.720.263
Total;Acumulado en lo que va de año;2022M02;5.680.731
Total;Acumulado en lo que va de año;2022M01;2.501.443
Total;Acumulado en lo que va de año;2021M12;31.180.802
Total;Acumulado en lo que va de año;2021M11;28.233.277
Total;Acumulado en lo que va de año;2021M10;24.871.364
Total;Acumulado en lo que va de año;2021M09;19.722.543
Total;Acumulado en lo que va de año;2021M08;15.018.611
Total;Acumulado en lo que va de año;2021M07;9.822.091
Total;Acumulado en lo que va de año;2021M06;5.423.099
Total;Acumulado en lo que va de año;2021M05;3.206.743
Total;Acumulado en lo que va de año;2021M04;1.843.579
Total;Acumulado en lo que va de año;2021M03;1.214.373
Total;Acumulado en lo que va de año;2021M02;722.947
Total;Acumulado en lo que va de año;2021M01;437.973
Total;Acumulado en lo que va de año;2020M12;18.933.103
Total;Acumulado en lo que va de año;2020M11;18.284.113
Total;Acumulado en lo que va de año;2020M10;17.827.299
Total;Acumulado en lo que va de año;2020M09;16.806.526
Total;Acumulado en lo que va de año;2020M08;15.667.658
Total;Acumulado en lo que va de año;2020M07;13.226.680
Total;Acumulado en lo que va de año;2020M06;10.761.901
Total;Acumulado en lo que va de año;2020M05;10.557.629
Total;Acumulado en lo que va de año;2020M04;10.557.629
Total;Acumulado en lo que va de año;2020M03;10.557.629
Total;Acumulado en lo que va de año;2020M02;8.560.367
Total;Acumulado en lo que va de año;2020M01;4.133.024
Total;Acumulado en lo que va de año;2019M12;83.509.153
Total;Acumulado en lo que va de año;2019M11;79.204.413
Total;Acumulado en lo que va de año;2019M10;74.549.391
Total;Acumulado en lo que va de año;2019M09;66.961.642
Total;Acumulado en lo que va de año;2019M08;58.116.490
Total;Acumulado en lo que va de año;2019M07;47.998.124
Total;Acumulado en lo que va de año;2019M06;38.124.854
Total;Acumulado en lo que va de año;2019M05;29.290.961
Total;Acumulado en lo que va de año;2019M04;21.371.757
Total;Acumulado en lo que va de año;2019M03;14.225.723
Total;Acumulado en lo que va de año;2019M02;8.576.146
Total;Acumulado en lo que va de año;2019M01;4.195.641
Total;Acumulado en lo que va de año;2018M12;82.808.413
Total;Acumulado en lo que va de año;2018M11;78.453.616
Total;Acumulado en lo que va de año;2018M10;73.916.743
Total;Acumulado en lo que va de año;2018M09;66.266.882
Total;Acumulado en lo que va de año;2018M08;57.334.574
Total;Acumulado en lo que va de año;2018M07;47.158.813
Total;Acumulado en lo que va de año;2018M06;37.138.567
Total;Acumulado en lo que va de año;2018M05;28.584.261
Total;Acumulado en lo que va de año;2018M04;20.498.213
Total;Acumulado en lo que va de año;2018M03;13.717.834
Total;Acumulado en lo que va de año;2018M02;8.324.648
Total;Acumulado en lo que va de año;2018M01;4.106.601
Total;Acumulado en lo que va de año;2017M12;81.868.522
Total;Acumulado en lo que va de año;2017M11;77.885.991
Total;Acumulado en lo que va de año;2017M10;73.493.416
Total;Acumulado en lo que va de año;2017M09;66.223.486
Total;Acumulado en lo que va de año;2017M08;57.346.216
Total;Acumulado en lo que va de año;2017M07;46.948.471
Total;Acumulado en lo que va de año;2017M06;36.455.033
Total;Acumulado en lo que va de año;2017M05;28.023.059
Total;Acumulado en lo que va de año;2017M04;20.020.410
Total;Acumulado en lo que va de año;2017M03;12.938.816
Total;Acumulado en lo que va de año;2017M02;8.024.873
Total;Acumulado en lo que va de año;2017M01;3.905.736
Total;Acumulado en lo que va de año;2016M12;75.315.008
Total;Acumulado en lo que va de año;2016M11;71.324.562
Total;Acumulado en lo que va de año;2016M10;67.226.301
Total;Acumulado en lo que va de año;2016M09;60.088.578
Total;Acumulado en lo que va de año;2016M08;52.155.971
Total;Acumulado en lo que va de año;2016M07;42.128.500
Total;Acumulado en lo que va de año;2016M06;32.582.708
Total;Acumulado en lo que va de año;2016M05;25.029.951
Total;Acumulado en lo que va de año;2016M04;17.918.796
Total;Acumulado en lo que va de año;2016M03;11.832.469
Total;Acumulado en lo que va de año;2016M02;7.205.263
Total;Acumulado en lo que va de año;2016M01;3.526.537
Total;Acumulado en lo que va de año;2015M12;""
Total;Acumulado en lo que va de año;2015M11;""
Total;Acumulado en lo que va de año;2015M10;""
Total;Tasa de variación acumulada;2023M08;19,59
Total;Tasa de variación acumulada;2023M07;20,87
Total;Tasa de variación acumulada;2023M06;23,7
Total;Tasa de variación acumulada;2023M05;27,89
Total;Tasa de variación acumulada;2023M04;32,44
Total;Tasa de variación acumulada;2023M03;41,21
Total;Tasa de variación acumulada;2023M02;49,07
Total;Tasa de variación acumulada;2023M01;65,8
Total;Tasa de variación acumulada;2022M12;129,82
Total;Tasa de variación acumulada;2022M11;139,19
Total;Tasa de variación acumulada;2022M10;154,1
Total;Tasa de variación acumulada;2022M09;184,04
Total;Tasa de variación acumulada;2022M08;221,29
Total;Tasa de variación acumulada;2022M07;301,18
Total;Tasa de variación acumulada;2022M06;458,96
Total;Tasa de variación acumulada;2022M05;611,47
Total;Tasa de variación acumulada;2022M04;758,47
Total;Tasa de variación acumulada;2022M03;700,43
Total;Tasa de variación acumulada;2022M02;685,77
Total;Tasa de variación acumulada;2022M01;471,14
Total;Tasa de variación acumulada;2021M12;64,69
Total;Tasa de variación acumulada;2021M11;54,41
Total;Tasa de variación acumulada;2021M10;39,51
Total;Tasa de variación acumulada;2021M09;17,35
Total;Tasa de variación acumulada;2021M08;-4,14
Total;Tasa de variación acumulada;2021M07;-25,74
Total;Tasa de variación acumulada;2021M06;-49,61
Total;Tasa de variación acumulada;2021M05;-69,63
Total;Tasa de variación acumulada;2021M04;-82,54
Total;Tasa de variación acumulada;2021M03;-88,5
Total;Tasa de variación acumulada;2021M02;-91,55
Total;Tasa de variación acumulada;2021M01;-89,4
Total;Tasa de variación acumulada;2020M12;-77,33
Total;Tasa de variación acumulada;2020M11;-76,92
Total;Tasa de variación acumulada;2020M10;-76,09
Total;Tasa de variación acumulada;2020M09;-74,9
Total;Tasa de variación acumulada;2020M08;-73,04
Total;Tasa de variación acumulada;2020M07;-72,44
Total;Tasa de variación acumulada;2020M06;-71,77
Total;Tasa de variación acumulada;2020M05;-63,96
Total;Tasa de variación acumulada;2020M04;-50,6
Total;Tasa de variación acumulada;2020M03;-25,78
Total;Tasa de variación acumulada;2020M02;-0,18
Total;Tasa de variación acumulada;2020M01;-1,49
Total;Tasa de variación acumulada;2019M12;0,85
Total;Tasa de variación acumulada;2019M11;0,96
Total;Tasa de variación acumulada;2019M10;0,86
Total;Tasa de variación acumulada;2019M09;1,05
Total;Tasa de variación acumulada;2019M08;1,36
Total;Tasa de variación acumulada;2019M07;1,78
Total;Tasa de variación acumulada;2019M06;2,66
Total;Tasa de variación acumulada;2019M05;2,47
Total;Tasa de variación acumulada;2019M04;4,26
Total;Tasa de variación acumulada;2019M03;3,7
Total;Tasa de variación acumulada;2019M02;3,02
Total;Tasa de variación acumulada;2019M01;2,17
Total;Tasa de variación acumulada;2018M12;1,15
Total;Tasa de variación acumulada;2018M11;0,73
Total;Tasa de variación acumulada;2018M10;0,58
Total;Tasa de variación acumulada;2018M09;0,07
Total;Tasa de variación acumulada;2018M08;-0,02
Total;Tasa de variación acumulada;2018M07;0,45
Total;Tasa de variación acumulada;2018M06;1,88
Total;Tasa de variación acumulada;2018M05;2
Total;Tasa de variación acumulada;2018M04;2,39
Total;Tasa de variación acumulada;2018M03;6,02
Total;Tasa de variación acumulada;2018M02;3,74
Total;Tasa de variación acumulada;2018M01;5,14
Total;Tasa de variación acumulada;2017M12;8,7
Total;Tasa de variación acumulada;2017M11;9,2
Total;Tasa de variación acumulada;2017M10;9,32
Total;Tasa de variación acumulada;2017M09;10,21
Total;Tasa de variación acumulada;2017M08;9,95
Total;Tasa de variación acumulada;2017M07;11,44
Total;Tasa de variación acumulada;2017M06;11,88
Total;Tasa de variación acumulada;2017M05;11,96
Total;Tasa de variación acumulada;2017M04;11,73
Total;Tasa de variación acumulada;2017M03;9,35
Total;Tasa de variación acumulada;2017M02;11,38
Total;Tasa de variación acumulada;2017M01;10,75
Total;Tasa de variación acumulada;2016M12;10,46
Total;Tasa de variación acumulada;2016M11;10,29
Total;Tasa de variación acumulada;2016M10;10,36
Total;Tasa de variación acumulada;2016M09;10,29
Total;Tasa de variación acumulada;2016M08;10,41
Total;Tasa de variación acumulada;2016M07;11,42
Total;Tasa de variación acumulada;2016M06;11,85
Total;Tasa de variación acumulada;2016M05;11,54
Total;Tasa de variación acumulada;2016M04;12,93
Total;Tasa de variación acumulada;2016M03;13,64
Total;Tasa de variación acumulada;2016M02;12,5
Total;Tasa de variación acumulada;2016M01;11,04
Total;Tasa de variación acumulada;2015M12;""
Total;Tasa de variación acumulada;2015M11;""
Total;Tasa de variación acumulada;2015M10;""
Ocio, recreo y vacaciones;Dato base;2023M08;9.298.324
Ocio, recreo y vacaciones;Dato base;2023M07;9.206.309
Ocio, recreo y vacaciones;Dato base;2023M06;7.275.718
Ocio, recreo y vacaciones;Dato base;2023M05;7.170.926
Ocio, recreo y vacaciones;Dato base;2023M04;6.191.721
Ocio, recreo y vacaciones;Dato base;2023M03;4.285.278
Ocio, recreo y vacaciones;Dato base;2023M02;3.508.935
Ocio, recreo y vacaciones;Dato base;2023M01;3.420.779
Ocio, recreo y vacaciones;Dato base;2022M12;3.319.525
Ocio, recreo y vacaciones;Dato base;2022M11;3.554.483
Ocio, recreo y vacaciones;Dato base;2022M10;6.128.414
Ocio, recreo y vacaciones;Dato base;2022M09;6.863.955
Ocio, recreo y vacaciones;Dato base;2022M08;8.156.393
Ocio, recreo y vacaciones;Dato base;2022M07;8.304.492
Ocio, recreo y vacaciones;Dato base;2022M06;6.668.228
Ocio, recreo y vacaciones;Dato base;2022M05;5.931.285
Ocio, recreo y vacaciones;Dato base;2022M04;5.204.968
Ocio, recreo y vacaciones;Dato base;2022M03;3.358.283
Ocio, recreo y vacaciones;Dato base;2022M02;2.632.372
Ocio, recreo y vacaciones;Dato base;2022M01;2.009.257
Ocio, recreo y vacaciones;Dato base;2021M12;2.345.683
Ocio, recreo y vacaciones;Dato base;2021M11;2.815.695
Ocio, recreo y vacaciones;Dato base;2021M10;4.519.648
Ocio, recreo y vacaciones;Dato base;2021M09;4.161.869
Ocio, recreo y vacaciones;Dato base;2021M08;4.758.280
Ocio, recreo y vacaciones;Dato base;2021M07;3.871.103
Ocio, recreo y vacaciones;Dato base;2021M06;1.775.810
Ocio, recreo y vacaciones;Dato base;2021M05;1.006.187
Ocio, recreo y vacaciones;Dato base;2021M04;390.801
Ocio, recreo y vacaciones;Dato base;2021M03;267.565
Ocio, recreo y vacaciones;Dato base;2021M02;162.575
Ocio, recreo y vacaciones;Dato base;2021M01;274.925
Ocio, recreo y vacaciones;Dato base;2020M12;385.414
Ocio, recreo y vacaciones;Dato base;2020M11;295.647
Ocio, recreo y vacaciones;Dato base;2020M10;800.953
Ocio, recreo y vacaciones;Dato base;2020M09;902.587
Ocio, recreo y vacaciones;Dato base;2020M08;2.169.355
Ocio, recreo y vacaciones;Dato base;2020M07;2.122.117
Ocio, recreo y vacaciones;Dato base;2020M06;167.634
Ocio, recreo y vacaciones;Dato base;2020M05;0
Ocio, recreo y vacaciones;Dato base;2020M04;0
Ocio, recreo y vacaciones;Dato base;2020M03;1.657.119
Ocio, recreo y vacaciones;Dato base;2020M02;3.654.750
Ocio, recreo y vacaciones;Dato base;2020M01;3.377.951
Ocio, recreo y vacaciones;Dato base;2019M12;3.533.161
Ocio, recreo y vacaciones;Dato base;2019M11;3.815.851
Ocio, recreo y vacaciones;Dato base;2019M10;6.628.274
Ocio, recreo y vacaciones;Dato base;2019M09;7.947.555
Ocio, recreo y vacaciones;Dato base;2019M08;9.451.449
Ocio, recreo y vacaciones;Dato base;2019M07;8.975.647
Ocio, recreo y vacaciones;Dato base;2019M06;7.817.617
Ocio, recreo y vacaciones;Dato base;2019M05;6.917.988
Ocio, recreo y vacaciones;Dato base;2019M04;6.212.566
Ocio, recreo y vacaciones;Dato base;2019M03;4.685.301
Ocio, recreo y vacaciones;Dato base;2019M02;3.550.662
Ocio, recreo y vacaciones;Dato base;2019M01;3.440.353
Ocio, recreo y vacaciones;Dato base;2018M12;3.571.407
Ocio, recreo y vacaciones;Dato base;2018M11;3.763.368
Ocio, recreo y vacaciones;Dato base;2018M10;6.707.426
Ocio, recreo y vacaciones;Dato base;2018M09;7.987.061
Ocio, recreo y vacaciones;Dato base;2018M08;9.370.729
Ocio, recreo y vacaciones;Dato base;2018M07;9.070.322
Ocio, recreo y vacaciones;Dato base;2018M06;7.508.130
Ocio, recreo y vacaciones;Dato base;2018M05;7.149.584
Ocio, recreo y vacaciones;Dato base;2018M04;5.782.796
Ocio, recreo y vacaciones;Dato base;2018M03;4.341.659
Ocio, recreo y vacaciones;Dato base;2018M02;3.458.372
Ocio, recreo y vacaciones;Dato base;2018M01;3.462.200
Ocio, recreo y vacaciones;Dato base;2017M12;3.217.373
Ocio, recreo y vacaciones;Dato base;2017M11;3.676.581
Ocio, recreo y vacaciones;Dato base;2017M10;6.331.811
Ocio, recreo y vacaciones;Dato base;2017M09;7.949.343
Ocio, recreo y vacaciones;Dato base;2017M08;9.596.016
Ocio, recreo y vacaciones;Dato base;2017M07;9.427.961
Ocio, recreo y vacaciones;Dato base;2017M06;7.401.577
Ocio, recreo y vacaciones;Dato base;2017M05;6.895.568
Ocio, recreo y vacaciones;Dato base;2017M04;6.065.684
Ocio, recreo y vacaciones;Dato base;2017M03;3.995.086
Ocio, recreo y vacaciones;Dato base;2017M02;3.387.506
Ocio, recreo y vacaciones;Dato base;2017M01;3.142.597
Ocio, recreo y vacaciones;Dato base;2016M12;3.115.937
Ocio, recreo y vacaciones;Dato base;2016M11;3.251.951
Ocio, recreo y vacaciones;Dato base;2016M10;6.100.455
Ocio, recreo y vacaciones;Dato base;2016M09;7.057.857
Ocio, recreo y vacaciones;Dato base;2016M08;9.296.900
Ocio, recreo y vacaciones;Dato base;2016M07;8.664.754
Ocio, recreo y vacaciones;Dato base;2016M06;6.591.364
Ocio, recreo y vacaciones;Dato base;2016M05;6.078.190
Ocio, recreo y vacaciones;Dato base;2016M04;4.921.015
