Motivo del viaje;Tipo de dato;Periodo;Total
Negocio, motivos profesionales;Tasa de variación acumulada;2018M03;16,07
Negocio, motivos profesionales;Tasa de variación acumulada;2018M02;5,41
Negocio, motivos profesionales;Tasa de variación acumulada;2018M01;-16,38
Negocio, motivos profesionales;Tasa de variación acumulada;2017M12;0,87
Negocio, motivos profesionales;Tasa de variación acumulada;2017M11;0,82
Negocio, motivos profesionales;Tasa de variación acumulada;2017M10;1,88
Negocio, motivos profesionales;Tasa de variación acumulada;2017M09;3,82
Negocio, motivos profesionales;Tasa de variación acumulada;2017M08;0,44
Negocio, motivos profesionales;Tasa de variación acumulada;2017M07;-1,12
Negocio, motivos profesionales;Tasa de variación acumulada;2017M06;-3,27
Negocio, motivos profesionales;Tasa de variación acumulada;2017M05;-6,79
Negocio, motivos profesionales;Tasa de variación acumulada;2017M04;-9,71
Negocio, motivos profesionales;Tasa de variación acumulada;2017M03;-5,4
Negocio, motivos profesionales;Tasa de variación acumulada;2017M02;-15,19
Negocio, motivos profesionales;Tasa de variación acumulada;2017M01;-7,13
Negocio, motivos profesionales;Tasa de variación acumulada;2016M12;-3,16
Negocio, motivos profesionales;Tasa de variación acumulada;2016M11;-4,17
Negocio, motivos profesionales;Tasa de variación acumulada;2016M10;-5,14
Negocio, motivos profesionales;Tasa de variación acumulada;2016M09;-7,87
Negocio, motivos profesionales;Tasa de variación acumulada;2016M08;-4,28
Negocio, motivos profesionales;Tasa de variación acumulada;2016M07;1,36
Negocio, motivos profesionales;Tasa de variación acumulada;2016M06;5,3
Negocio, motivos profesionales;Tasa de variación acumulada;2016M05;6,86
Negocio, motivos profesionales;Tasa de variación acumulada;2016M04;7,59
Negocio, motivos profesionales;Tasa de variación acumulada;2016M03;10,75
Negocio, motivos profesionales;Tasa de variación acumulada;2016M02;33,89
Negocio, motivos profesionales;Tasa de variación acumulada;2016M01;21,84
Negocio, motivos profesionales;Tasa de variación acumulada;2015M12;""
Negocio, motivos profesionales;Tasa de variación acumulada;2015M11;""
Negocio, motivos profesionales;Tasa de variación acumulada;2015M10;""
Otros motivos;Dato base;2023M08;625.779
Otros motivos;Dato base;2023M07;606.819
Otros motivos;Dato base;2023M06;564.396
Otros motivos;Dato base;2023M05;608.790
Otros motivos;Dato base;2023M04;628.607
Otros motivos;Dato base;2023M03;514.263
Otros motivos;Dato base;2023M02;435.823
Otros motivos;Dato base;2023M01;459.016
Otros motivos;Dato base;2022M12;524.968
Otros motivos;Dato base;2022M11;355.669
Otros motivos;Dato base;2022M10;496.451
Otros motivos;Dato base;2022M09;412.013
Otros motivos;Dato base;2022M08;461.963
Otros motivos;Dato base;2022M07;488.782
Otros motivos;Dato base;2022M06;399.647
Otros motivos;Dato base;2022M05;514.663
Otros motivos;Dato base;2022M04;483.979
Otros motivos;Dato base;2022M03;315.242
Otros motivos;Dato base;2022M02;319.521
Otros motivos;Dato base;2022M01;343.836
Otros motivos;Dato base;2021M12;381.272
Otros motivos;Dato base;2021M11;294.178
Otros motivos;Dato base;2021M10;338.852
Otros motivos;Dato base;2021M09;286.018
Otros motivos;Dato base;2021M08;327.580
Otros motivos;Dato base;2021M07;346.108
Otros motivos;Dato base;2021M06;250.299
Otros motivos;Dato base;2021M05;176.503
Otros motivos;Dato base;2021M04;104.992
Otros motivos;Dato base;2021M03;89.457
Otros motivos;Dato base;2021M02;56.408
Otros motivos;Dato base;2021M01;102.776
Otros motivos;Dato base;2020M12;160.521
Otros motivos;Dato base;2020M11;80.175
Otros motivos;Dato base;2020M10;149.352
Otros motivos;Dato base;2020M09;161.404
Otros motivos;Dato base;2020M08;225.822
Otros motivos;Dato base;2020M07;245.263
Otros motivos;Dato base;2020M06;23.958
Otros motivos;Dato base;2020M05;0
Otros motivos;Dato base;2020M04;0
Otros motivos;Dato base;2020M03;203.030
Otros motivos;Dato base;2020M02;418.978
Otros motivos;Dato base;2020M01;385.013
Otros motivos;Dato base;2019M12;386.836
Otros motivos;Dato base;2019M11;349.069
Otros motivos;Dato base;2019M10;381.809
Otros motivos;Dato base;2019M09;383.584
Otros motivos;Dato base;2019M08;480.080
Otros motivos;Dato base;2019M07;471.808
Otros motivos;Dato base;2019M06;427.213
Otros motivos;Dato base;2019M05;456.226
Otros motivos;Dato base;2019M04;493.409
Otros motivos;Dato base;2019M03;477.059
Otros motivos;Dato base;2019M02;403.364
Otros motivos;Dato base;2019M01;413.090
Otros motivos;Dato base;2018M12;462.275
Otros motivos;Dato base;2018M11;328.388
Otros motivos;Dato base;2018M10;416.656
Otros motivos;Dato base;2018M09;437.884
Otros motivos;Dato base;2018M08;639.841
Otros motivos;Dato base;2018M07;612.908
Otros motivos;Dato base;2018M06;553.709
Otros motivos;Dato base;2018M05;513.543
Otros motivos;Dato base;2018M04;483.303
Otros motivos;Dato base;2018M03;464.702
Otros motivos;Dato base;2018M02;324.544
Otros motivos;Dato base;2018M01;374.254
Otros motivos;Dato base;2017M12;421.854
Otros motivos;Dato base;2017M11;337.281
Otros motivos;Dato base;2017M10;447.753
Otros motivos;Dato base;2017M09;415.460
Otros motivos;Dato base;2017M08;634.376
Otros motivos;Dato base;2017M07;710.359
Otros motivos;Dato base;2017M06;528.191
Otros motivos;Dato base;2017M05;613.115
Otros motivos;Dato base;2017M04;652.137
Otros motivos;Dato base;2017M03;474.721
Otros motivos;Dato base;2017M02;385.628
Otros motivos;Dato base;2017M01;440.081
Otros motivos;Dato base;2016M12;536.345
Otros motivos;Dato base;2016M11;429.482
Otros motivos;Dato base;2016M10;491.615
Otros motivos;Dato base;2016M09;478.306
Otros motivos;Dato base;2016M08;608.198
Otros motivos;Dato base;2016M07;577.555
Otros motivos;Dato base;2016M06;519.265
Otros motivos;Dato base;2016M05;554.236
Otros motivos;Dato base;2016M04;706.113
Otros motivos;Dato base;2016M03;492.388
Otros motivos;Dato base;2016M02;423.403
Otros motivos;Dato base;2016M01;506.662
Otros motivos;Dato base;2015M12;579.120
Otros motivos;Dato base;2015M11;435.490
Otros motivos;Dato base;2015M10;651.685
Otros motivos;Tasa de variación anual;2023M08;35,46
Otros motivos;Tasa de variación anual;2023M07;24,15
Otros motivos;Tasa de variación anual;2023M06;41,22
Otros motivos;Tasa de variación anual;2023M05;18,29
Otros motivos;Tasa de variación anual;2023M04;29,88
Otros motivos;Tasa de variación anual;2023M03;63,13
Otros motivos;Tasa de variación anual;2023M02;36,4
Otros motivos;Tasa de variación anual;2023M01;33,5
Otros motivos;Tasa de variación anual;2022M12;37,69
Otros motivos;Tasa de variación anual;2022M11;20,9
Otros motivos;Tasa de variación anual;2022M10;46,51
Otros motivos;Tasa de variación anual;2022M09;44,05
Otros motivos;Tasa de variación anual;2022M08;41,02
Otros motivos;Tasa de variación anual;2022M07;41,22
Otros motivos;Tasa de variación anual;2022M06;59,67
Otros motivos;Tasa de variación anual;2022M05;191,59
Otros motivos;Tasa de variación anual;2022M04;360,97
Otros motivos;Tasa de variación anual;2022M03;252,4
Otros motivos;Tasa de variación anual;2022M02;466,45
Otros motivos;Tasa de variación anual;2022M01;234,55
Otros motivos;Tasa de variación anual;2021M12;137,52
Otros motivos;Tasa de variación anual;2021M11;266,92
Otros motivos;Tasa de variación anual;2021M10;126,88
Otros motivos;Tasa de variación anual;2021M09;77,21
Otros motivos;Tasa de variación anual;2021M08;45,06
Otros motivos;Tasa de variación anual;2021M07;41,12
Otros motivos;Tasa de variación anual;2021M06;944,73
Otros motivos;Tasa de variación anual;2021M05;..
Otros motivos;Tasa de variación anual;2021M04;..
Otros motivos;Tasa de variación anual;2021M03;-55,94
Otros motivos;Tasa de variación anual;2021M02;-86,54
Otros motivos;Tasa de variación anual;2021M01;-73,31
Otros motivos;Tasa de variación anual;2020M12;-58,5
Otros motivos;Tasa de variación anual;2020M11;-77,03
Otros motivos;Tasa de variación anual;2020M10;-60,88
Otros motivos;Tasa de variación anual;2020M09;-57,92
Otros motivos;Tasa de variación anual;2020M08;-52,96
Otros motivos;Tasa de variación anual;2020M07;-48,02
Otros motivos;Tasa de variación anual;2020M06;-94,39
Otros motivos;Tasa de variación anual;2020M05;-100
Otros motivos;Tasa de variación anual;2020M04;-100
Otros motivos;Tasa de variación anual;2020M03;-57,44
Otros motivos;Tasa de variación anual;2020M02;3,87
Otros motivos;Tasa de variación anual;2020M01;-6,8
Otros motivos;Tasa de variación anual;2019M12;-16,32
Otros motivos;Tasa de variación anual;2019M11;6,3
Otros motivos;Tasa de variación anual;2019M10;-8,36
Otros motivos;Tasa de variación anual;2019M09;-12,4
Otros motivos;Tasa de variación anual;2019M08;-24,97
Otros motivos;Tasa de variación anual;2019M07;-23,02
Otros motivos;Tasa de variación anual;2019M06;-22,85
Otros motivos;Tasa de variación anual;2019M05;-11,16
Otros motivos;Tasa de variación anual;2019M04;2,09
Otros motivos;Tasa de variación anual;2019M03;2,66
Otros motivos;Tasa de variación anual;2019M02;24,29
Otros motivos;Tasa de variación anual;2019M01;10,38
Otros motivos;Tasa de variación anual;2018M12;9,58
Otros motivos;Tasa de variación anual;2018M11;-2,64
Otros motivos;Tasa de variación anual;2018M10;-6,95
Otros motivos;Tasa de variación anual;2018M09;5,4
Otros motivos;Tasa de variación anual;2018M08;0,86
Otros motivos;Tasa de variación anual;2018M07;-13,72
Otros motivos;Tasa de variación anual;2018M06;4,83
Otros motivos;Tasa de variación anual;2018M05;-16,24
Otros motivos;Tasa de variación anual;2018M04;-25,89
Otros motivos;Tasa de variación anual;2018M03;-2,11
Otros motivos;Tasa de variación anual;2018M02;-15,84
Otros motivos;Tasa de variación anual;2018M01;-14,96
Otros motivos;Tasa de variación anual;2017M12;-21,35
Otros motivos;Tasa de variación anual;2017M11;-21,47
Otros motivos;Tasa de variación anual;2017M10;-8,92
Otros motivos;Tasa de variación anual;2017M09;-13,14
Otros motivos;Tasa de variación anual;2017M08;4,3
Otros motivos;Tasa de variación anual;2017M07;22,99
Otros motivos;Tasa de variación anual;2017M06;1,72
Otros motivos;Tasa de variación anual;2017M05;10,62
Otros motivos;Tasa de variación anual;2017M04;-7,64
Otros motivos;Tasa de variación anual;2017M03;-3,59
Otros motivos;Tasa de variación anual;2017M02;-8,92
Otros motivos;Tasa de variación anual;2017M01;-13,14
Otros motivos;Tasa de variación anual;2016M12;-7,39
Otros motivos;Tasa de variación anual;2016M11;-1,38
Otros motivos;Tasa de variación anual;2016M10;-24,56
Otros motivos;Tasa de variación anual;2016M09;39,96
Otros motivos;Tasa de variación anual;2016M08;24,27
Otros motivos;Tasa de variación anual;2016M07;27,32
Otros motivos;Tasa de variación anual;2016M06;67,55
Otros motivos;Tasa de variación anual;2016M05;45,47
Otros motivos;Tasa de variación anual;2016M04;48,96
Otros motivos;Tasa de variación anual;2016M03;37,29
Otros motivos;Tasa de variación anual;2016M02;30,88
Otros motivos;Tasa de variación anual;2016M01;46,29
Otros motivos;Tasa de variación anual;2015M12;61,09
Otros motivos;Tasa de variación anual;2015M11;51,05
Otros motivos;Tasa de variación anual;2015M10;62,72
Otros motivos;Acumulado en lo que va de año;2023M08;4.443.492
Otros motivos;Acumulado en lo que va de año;2023M07;3.817.713
Otros motivos;Acumulado en lo que va de año;2023M06;3.210.895
Otros motivos;Acumulado en lo que va de año;2023M05;2.646.498
Otros motivos;Acumulado en lo que va de año;2023M04;2.037.708
Otros motivos;Acumulado en lo que va de año;2023M03;1.409.101
Otros motivos;Acumulado en lo que va de año;2023M02;894.838
Otros motivos;Acumulado en lo que va de año;2023M01;459.016
Otros motivos;Acumulado en lo que va de año;2022M12;5.116.733
Otros motivos;Acumulado en lo que va de año;2022M11;4.591.765
Otros motivos;Acumulado en lo que va de año;2022M10;4.236.096
Otros motivos;Acumulado en lo que va de año;2022M09;3.739.646
Otros motivos;Acumulado en lo que va de año;2022M08;3.327.633
Otros motivos;Acumulado en lo que va de año;2022M07;2.865.670
Otros motivos;Acumulado en lo que va de año;2022M06;2.376.888
Otros motivos;Acumulado en lo que va de año;2022M05;1.977.241
Otros motivos;Acumulado en lo que va de año;2022M04;1.462.578
Otros motivos;Acumulado en lo que va de año;2022M03;978.599
Otros motivos;Acumulado en lo que va de año;2022M02;663.357
Otros motivos;Acumulado en lo que va de año;2022M01;343.836
Otros motivos;Acumulado en lo que va de año;2021M12;2.754.444
Otros motivos;Acumulado en lo que va de año;2021M11;2.373.171
Otros motivos;Acumulado en lo que va de año;2021M10;2.078.993
Otros motivos;Acumulado en lo que va de año;2021M09;1.740.141
Otros motivos;Acumulado en lo que va de año;2021M08;1.454.123
Otros motivos;Acumulado en lo que va de año;2021M07;1.126.542
Otros motivos;Acumulado en lo que va de año;2021M06;780.435
Otros motivos;Acumulado en lo que va de año;2021M05;530.136
Otros motivos;Acumulado en lo que va de año;2021M04;353.633
Otros motivos;Acumulado en lo que va de año;2021M03;248.640
Otros motivos;Acumulado en lo que va de año;2021M02;159.184
Otros motivos;Acumulado en lo que va de año;2021M01;102.776
Otros motivos;Acumulado en lo que va de año;2020M12;2.053.516
Otros motivos;Acumulado en lo que va de año;2020M11;1.892.996
Otros motivos;Acumulado en lo que va de año;2020M10;1.812.821
Otros motivos;Acumulado en lo que va de año;2020M09;1.663.469
Otros motivos;Acumulado en lo que va de año;2020M08;1.502.064
Otros motivos;Acumulado en lo que va de año;2020M07;1.276.242
Otros motivos;Acumulado en lo que va de año;2020M06;1.030.979
Otros motivos;Acumulado en lo que va de año;2020M05;1.007.021
Otros motivos;Acumulado en lo que va de año;2020M04;1.007.021
Otros motivos;Acumulado en lo que va de año;2020M03;1.007.021
Otros motivos;Acumulado en lo que va de año;2020M02;803.991
Otros motivos;Acumulado en lo que va de año;2020M01;385.013
Otros motivos;Acumulado en lo que va de año;2019M12;5.123.547
Otros motivos;Acumulado en lo que va de año;2019M11;4.736.712
Otros motivos;Acumulado en lo que va de año;2019M10;4.387.643
Otros motivos;Acumulado en lo que va de año;2019M09;4.005.834
Otros motivos;Acumulado en lo que va de año;2019M08;3.622.250
Otros motivos;Acumulado en lo que va de año;2019M07;3.142.170
Otros motivos;Acumulado en lo que va de año;2019M06;2.670.361
Otros motivos;Acumulado en lo que va de año;2019M05;2.243.149
Otros motivos;Acumulado en lo que va de año;2019M04;1.786.923
Otros motivos;Acumulado en lo que va de año;2019M03;1.293.514
Otros motivos;Acumulado en lo que va de año;2019M02;816.455
Otros motivos;Acumulado en lo que va de año;2019M01;413.090
Otros motivos;Acumulado en lo que va de año;2018M12;5.612.005
Otros motivos;Acumulado en lo que va de año;2018M11;5.149.730
Otros motivos;Acumulado en lo que va de año;2018M10;4.821.343
Otros motivos;Acumulado en lo que va de año;2018M09;4.404.687
Otros motivos;Acumulado en lo que va de año;2018M08;3.966.803
Otros motivos;Acumulado en lo que va de año;2018M07;3.326.962
Otros motivos;Acumulado en lo que va de año;2018M06;2.714.054
Otros motivos;Acumulado en lo que va de año;2018M05;2.160.345
Otros motivos;Acumulado en lo que va de año;2018M04;1.646.802
Otros motivos;Acumulado en lo que va de año;2018M03;1.163.500
Otros motivos;Acumulado en lo que va de año;2018M02;698.798
Otros motivos;Acumulado en lo que va de año;2018M01;374.254
Otros motivos;Acumulado en lo que va de año;2017M12;6.060.956
Otros motivos;Acumulado en lo que va de año;2017M11;5.639.102
Otros motivos;Acumulado en lo que va de año;2017M10;5.301.821
Otros motivos;Acumulado en lo que va de año;2017M09;4.854.068
Otros motivos;Acumulado en lo que va de año;2017M08;4.438.609
Otros motivos;Acumulado en lo que va de año;2017M07;3.804.232
Otros motivos;Acumulado en lo que va de año;2017M06;3.093.874
Otros motivos;Acumulado en lo que va de año;2017M05;2.565.682
Otros motivos;Acumulado en lo que va de año;2017M04;1.952.567
Otros motivos;Acumulado en lo que va de año;2017M03;1.300.430
Otros motivos;Acumulado en lo que va de año;2017M02;825.709
Otros motivos;Acumulado en lo que va de año;2017M01;440.081
Otros motivos;Acumulado en lo que va de año;2016M12;6.323.567
Otros motivos;Acumulado en lo que va de año;2016M11;5.787.222
Otros motivos;Acumulado en lo que va de año;2016M10;5.357.740
Otros motivos;Acumulado en lo que va de año;2016M09;4.866.126
Otros motivos;Acumulado en lo que va de año;2016M08;4.387.820
Otros motivos;Acumulado en lo que va de año;2016M07;3.779.622
Otros motivos;Acumulado en lo que va de año;2016M06;3.202.067
Otros motivos;Acumulado en lo que va de año;2016M05;2.682.802
Otros motivos;Acumulado en lo que va de año;2016M04;2.128.566
Otros motivos;Acumulado en lo que va de año;2016M03;1.422.453
Otros motivos;Acumulado en lo que va de año;2016M02;930.065
Otros motivos;Acumulado en lo que va de año;2016M01;506.662
Otros motivos;Acumulado en lo que va de año;2015M12;""
Otros motivos;Acumulado en lo que va de año;2015M11;""
Otros motivos;Acumulado en lo que va de año;2015M10;""
Otros motivos;Tasa de variación acumulada;2023M08;33,53
Otros motivos;Tasa de variación acumulada;2023M07;33,22
Otros motivos;Tasa de variación acumulada;2023M06;35,09
Otros motivos;Tasa de variación acumulada;2023M05;33,85
Otros motivos;Tasa de variación acumulada;2023M04;39,32
Otros motivos;Tasa de variación acumulada;2023M03;43,99
Otros motivos;Tasa de variación acumulada;2023M02;34,9
Otros motivos;Tasa de variación acumulada;2023M01;33,5
Otros motivos;Tasa de variación acumulada;2022M12;85,76
Otros motivos;Tasa de variación acumulada;2022M11;93,49
Otros motivos;Tasa de variación acumulada;2022M10;103,76
Otros motivos;Tasa de variación acumulada;2022M09;114,9
Otros motivos;Tasa de variación acumulada;2022M08;128,84
Otros motivos;Tasa de variación acumulada;2022M07;154,38
Otros motivos;Tasa de variación acumulada;2022M06;204,56
Otros motivos;Tasa de variación acumulada;2022M05;272,97
Otros motivos;Tasa de variación acumulada;2022M04;313,59
Otros motivos;Tasa de variación acumulada;2022M03;293,58
Otros motivos;Tasa de variación acumulada;2022M02;316,72
Otros motivos;Tasa de variación acumulada;2022M01;234,55
Otros motivos;Tasa de variación acumulada;2021M12;34,13
Otros motivos;Tasa de variación acumulada;2021M11;25,37
Otros motivos;Tasa de variación acumulada;2021M10;14,68
Otros motivos;Tasa de variación acumulada;2021M09;4,61
Otros motivos;Tasa de variación acumulada;2021M08;-3,19
Otros motivos;Tasa de variación acumulada;2021M07;-11,73
Otros motivos;Tasa de variación acumulada;2021M06;-24,3
Otros motivos;Tasa de variación acumulada;2021M05;-47,36
Otros motivos;Tasa de variación acumulada;2021M04;-64,88
Otros motivos;Tasa de variación acumulada;2021M03;-75,31
Otros motivos;Tasa de variación acumulada;2021M02;-80,2
Otros motivos;Tasa de variación acumulada;2021M01;-73,31
Otros motivos;Tasa de variación acumulada;2020M12;-59,92
Otros motivos;Tasa de variación acumulada;2020M11;-60,04
Otros motivos;Tasa de variación acumulada;2020M10;-58,68
Otros motivos;Tasa de variación acumulada;2020M09;-58,47
Otros motivos;Tasa de variación acumulada;2020M08;-58,53
Otros motivos;Tasa de variación acumulada;2020M07;-59,38
Otros motivos;Tasa de variación acumulada;2020M06;-61,39
Otros motivos;Tasa de variación acumulada;2020M05;-55,11
Otros motivos;Tasa de variación acumulada;2020M04;-43,64
Otros motivos;Tasa de variación acumulada;2020M03;-22,15
Otros motivos;Tasa de variación acumulada;2020M02;-1,53
Otros motivos;Tasa de variación acumulada;2020M01;-6,8
Otros motivos;Tasa de variación acumulada;2019M12;-8,7
Otros motivos;Tasa de variación acumulada;2019M11;-8,02
Otros motivos;Tasa de variación acumulada;2019M10;-9
Otros motivos;Tasa de variación acumulada;2019M09;-9,06
Otros motivos;Tasa de variación acumulada;2019M08;-8,69
Otros motivos;Tasa de variación acumulada;2019M07;-5,55
Otros motivos;Tasa de variación acumulada;2019M06;-1,61
Otros motivos;Tasa de variación acumulada;2019M05;3,83
Otros motivos;Tasa de variación acumulada;2019M04;8,51
Otros motivos;Tasa de variación acumulada;2019M03;11,17
Otros motivos;Tasa de variación acumulada;2019M02;16,84
Otros motivos;Tasa de variación acumulada;2019M01;10,38
Otros motivos;Tasa de variación acumulada;2018M12;-7,41
Otros motivos;Tasa de variación acumulada;2018M11;-8,68
Otros motivos;Tasa de variación acumulada;2018M10;-9,06
Otros motivos;Tasa de variación acumulada;2018M09;-9,26
Otros motivos;Tasa de variación acumulada;2018M08;-10,63
Otros motivos;Tasa de variación acumulada;2018M07;-12,55
Otros motivos;Tasa de variación acumulada;2018M06;-12,28
Otros motivos;Tasa de variación acumulada;2018M05;-15,8
Otros motivos;Tasa de variación acumulada;2018M04;-15,66
Otros motivos;Tasa de variación acumulada;2018M03;-10,53
Otros motivos;Tasa de variación acumulada;2018M02;-15,37
Otros motivos;Tasa de variación acumulada;2018M01;-14,96
Otros motivos;Tasa de variación acumulada;2017M12;-4,15
Otros motivos;Tasa de variación acumulada;2017M11;-2,56
Otros motivos;Tasa de variación acumulada;2017M10;-1,04
Otros motivos;Tasa de variación acumulada;2017M09;-0,25
Otros motivos;Tasa de variación acumulada;2017M08;1,16
Otros motivos;Tasa de variación acumulada;2017M07;0,65
Otros motivos;Tasa de variación acumulada;2017M06;-3,38
Otros motivos;Tasa de variación acumulada;2017M05;-4,37
Otros motivos;Tasa de variación acumulada;2017M04;-8,27
Otros motivos;Tasa de variación acumulada;2017M03;-8,58
Otros motivos;Tasa de variación acumulada;2017M02;-11,22
Otros motivos;Tasa de variación acumulada;2017M01;-13,14
Otros motivos;Tasa de variación acumulada;2016M12;22,92
Otros motivos;Tasa de variación acumulada;2016M11;26,76
Otros motivos;Tasa de variación acumulada;2016M10;29,73
Otros motivos;Tasa de variación acumulada;2016M09;39,9
Otros motivos;Tasa de variación acumulada;2016M08;39,9
Otros motivos;Tasa de variación acumulada;2016M07;42,78
Otros motivos;Tasa de variación acumulada;2016M06;45,98
Otros motivos;Tasa de variación acumulada;2016M05;42,43
Otros motivos;Tasa de variación acumulada;2016M04;41,67
Otros motivos;Tasa de variación acumulada;2016M03;38,3
Otros motivos;Tasa de variación acumulada;2016M02;38,85
Otros motivos;Tasa de variación acumulada;2016M01;46,29
Otros motivos;Tasa de variación acumulada;2015M12;""
Otros motivos;Tasa de variación acumulada;2015M11;""
Otros motivos;Tasa de variación acumulada;2015M10;""
